Gold_MA7,Gold_MA30,DXY_Lag1,DXY_Lag7,day_of_week,month
2364.028564453125,2268.476668294271,106.12000274658205,106.01000213623048,2,4
2354.1714215959823,2273.5600016276044,105.69000244140624,106.16999816894533,3,4
2348.9857003348216,2279.7233317057294,105.81999969482422,106.33000183105467,4,4
2344.185721261161,2285.4933349609373,105.58000183105467,105.93000030517578,0,4
2336.0714285714284,2291.3700032552083,106.08000183105467,106.19000244140624,1,4
2322.4142717633927,2295.7566650390627,105.66999816894533,106.12000274658205,2,5
2321.55712890625,2301.2366617838543,106.31999969482422,106.12000274658205,3,5
2318.5142647879466,2304.336661783854,105.7300033569336,105.69000244140624,4,5
2319.6285574776784,2309.123331705729,105.30999755859376,105.81999969482422,0,5
2316.257149832589,2314.3933349609374,105.08000183105467,105.58000183105467,1,5
2313.228585379464,2318.7566731770835,105.13999938964844,106.08000183105467,2,5
2311.5428641183034,2323.133341471354,105.41999816894533,105.66999816894533,3,5
2322.914306640625,2328.92333984375,105.5199966430664,106.31999969482422,4,5
2328.142892020089,2333.010009765625,105.20999908447266,105.7300033569336,0,5
2333.2857491629466,2335.810009765625,105.30999755859376,105.30999755859376,1,5
2338.82861328125,2338.473347981771,105.1999969482422,105.08000183105467,2,5
2348.142892020089,2341.4000162760417,105.0500030517578,105.13999938964844,3,5
2357.728585379464,2344.450016276042,104.20999908447266,105.41999816894533,4,5
2372.7428850446427,2347.456681315104,104.5,105.5199966430664,0,5
2381.628592354911,2350.5133463541665,104.5,105.20999908447266,1,5
2390.085728236608,2352.876676432292,104.5999984741211,105.30999755859376,2,5
2395.1142926897323,2353.866674804688,104.62000274658205,105.1999969482422,3,5
2392.4000069754466,2352.710009765625,104.9000015258789,105.0500030517578,4,5
2384.885707310268,2351.8700032552083,105.04000091552734,104.20999908447266,1,5
2379.1142926897323,2350.413338216146,104.58000183105467,104.5,2,5
2367.842843191964,2348.836669921875,104.63999938964844,104.5,3,5
2355.6428571428573,2348.026676432292,105.12999725341795,104.5999984741211,4,5
2342.085728236608,2346.136678059896,104.76000213623048,104.62000274658205,0,6
2338.700020926339,2344.9433430989584,104.62999725341795,104.9000015258789,1,6
2336.385707310268,2344.900008138021,104.0500030517578,105.04000091552734,2,6
2338.971435546875,2346.02333984375,104.16999816894533,104.58000183105467,3,6
2344.6285574776784,2348.186669921875,104.25,104.63999938964844,4,6
2338.0142996651784,2346.276676432292,104.08999633789062,105.12999725341795,0,6
